stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628075926.760161,0,0.021544,-0.009798,-0.011801,-0.005453,-0.019254,0.005554,0.999784,soldier,260,300,158,273,0.987124,9.763336,0.669378,0.000000
1628075926.826836,1,0.021611,-0.009977,-0.011989,-0.005476,-0.019266,0.005681,0.999783,soldier,260,300,158,273,0.986263,9.608769,0.660915,0.000000
1628075926.893505,2,0.022887,-0.009841,-0.012187,-0.005492,-0.019209,0.005653,0.999784,soldier,260,300,158,273,0.985846,9.764628,0.671332,0.000000
1628075926.960160,3,0.022862,-0.010095,-0.012238,-0.005491,-0.019201,0.005718,0.999784,soldier,260,300,158,273,0.986740,9.764530,0.672342,0.000000
1628075927.026825,4,0.022827,-0.010269,-0.012311,-0.005482,-0.019217,0.005779,0.999784,soldier,261,300,157,274,0.986330,9.764383,0.673346,0.000000
1628075927.093513,5,0.022828,-0.010378,-0.012384,-0.005478,-0.019231,0.005826,0.999783,soldier,260,300,157,274,0.985375,9.764294,0.674138,0.000000
1628075927.160166,6,0.022811,-0.010515,-0.012441,-0.005471,-0.019240,0.005888,0.999783,soldier,260,300,158,273,0.985600,9.764176,0.675213,0.000000
1628075927.226845,7,0.022645,-0.010645,-0.012493,-0.005462,-0.019249,0.005947,0.999782,soldier,261,300,158,274,0.985375,9.763912,0.676226,0.000000
1628075927.293505,8,0.022598,-0.010806,-0.012541,-0.005465,-0.019256,0.006022,0.999782,soldier,261,300,158,273,0.987492,9.924160,0.688851,0.000000
1628075927.360244,9,0.022290,-0.010860,-0.012640,-0.005467,-0.019270,0.006066,0.999781,soldier,261,300,158,273,0.987000,9.763357,0.678330,0.000000
1628075927.426836,10,0.022195,-0.011148,-0.012841,-0.005450,-0.019271,0.006147,0.999781,soldier,260,300,158,273,0.985876,9.763148,0.679603,0.000000
1628075927.493523,11,0.023637,-0.010603,-0.012839,-0.005468,-0.019200,0.006077,0.999782,soldier,260,300,158,273,0.986233,9.610384,0.667876,0.000000
1628075927.560178,12,0.023632,-0.010615,-0.012857,-0.005467,-0.019210,0.006096,0.999782,soldier,260,300,158,273,0.986012,9.764767,0.679168,0.000000
1628075927.626826,13,0.023595,-0.010753,-0.012996,-0.005455,-0.019225,0.006200,0.999781,soldier,260,300,158,273,0.985806,9.764560,0.681031,0.000000
1628075927.760290,14,0.023607,-0.010936,-0.013136,-0.005447,-0.019238,0.006327,0.999780,soldier,261,300,158,273,0.987240,9.764374,0.683318,0.000000
1628075927.826816,15,0.023575,-0.011041,-0.013200,-0.005449,-0.019252,0.006385,0.999779,soldier,261,300,158,273,0.986866,9.764237,0.684343,0.000000
1628075927.960151,16,0.022854,-0.011419,-0.013422,-0.005447,-0.019277,0.006476,0.999778,soldier,260,300,158,273,0.986918,9.763343,0.685739,0.000000
1628075928.026777,17,0.022710,-0.011680,-0.013605,-0.005454,-0.019284,0.006549,0.999778,soldier,260,300,158,273,0.985285,9.763085,0.686922,0.000000
1628075928.160150,18,0.024321,-0.011424,-0.013404,-0.005480,-0.019218,0.006561,0.999779,soldier,260,300,158,273,0.986276,9.764800,0.687451,0.000000
