stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628079687.874791,32,-0.001551,0.005653,0.001064,-0.006023,-0.018945,-0.002221,0.999800,soldier,289,331,162,269,0.983823,9.747840,0.044478,0.000000
1628079687.941447,33,-0.001589,0.006656,0.000762,-0.006058,-0.019174,-0.002266,0.999795,soldier,289,330,161,271,0.989215,9.747504,0.070450,0.000000
1628079688.008134,34,-0.001564,0.006795,0.000721,-0.006064,-0.019155,-0.002277,0.999796,soldier,289,330,161,270,0.983843,9.747566,0.070383,0.000000
1628079688.074850,35,-0.002244,0.005241,0.001552,-0.005956,-0.019234,-0.002200,0.999795,soldier,289,330,162,270,0.984723,9.746729,0.070166,0.000000
1628079688.141639,36,-0.002345,0.005446,0.001599,-0.005957,-0.019097,-0.002306,0.999797,soldier,289,330,161,271,0.985304,9.746895,0.068295,0.000000
1628079688.208116,37,-0.002333,0.005659,0.001516,-0.005949,-0.019039,-0.002406,0.999798,soldier,289,330,162,270,0.986448,9.747025,0.066532,0.000000
1628079688.274785,38,-0.002053,0.005905,0.001437,-0.005943,-0.019022,-0.002467,0.999798,soldier,289,330,161,270,0.987823,9.747343,0.065586,0.000000
1628079688.341446,39,-0.002081,0.006023,0.001364,-0.005948,-0.018956,-0.002497,0.999800,soldier,289,330,161,270,0.986359,9.747440,0.065119,0.000000
1628079688.408111,40,-0.001848,0.006441,0.001251,-0.005947,-0.019014,-0.002620,0.999798,soldier,289,330,161,270,0.985979,9.747579,0.063125,0.000000
1628079688.474808,41,-0.001862,0.006571,0.001169,-0.005940,-0.018925,-0.002625,0.999800,soldier,289,330,161,270,0.987067,9.908278,0.064067,0.000000
1628079688.541524,42,-0.001700,0.006856,0.001050,-0.005949,-0.018963,-0.002712,0.999799,soldier,289,330,161,270,0.987975,9.747829,0.061750,0.000000
1628079688.608141,43,-0.001668,0.007130,0.000868,-0.005946,-0.018917,-0.002755,0.999800,soldier,289,330,161,270,0.986916,9.747950,0.061164,0.000000
1628079688.674846,44,-0.001672,0.006883,0.001841,-0.005930,-0.018878,-0.002708,0.999801,soldier,289,330,161,270,0.986900,9.748014,0.061821,0.000000
1628079688.741452,45,-0.001666,0.007277,0.001806,-0.005951,-0.018925,-0.002780,0.999799,soldier,289,330,160,271,0.988488,9.747940,0.060838,0.000000
1628079688.808125,46,-0.001423,0.007667,0.001757,-0.005945,-0.018892,-0.002883,0.999800,soldier,289,330,161,270,0.987451,9.748254,0.059211,0.000000
1628079688.874810,47,-0.001478,0.007858,0.001720,-0.005954,-0.018918,-0.002916,0.999799,soldier,289,330,161,271,0.986185,9.593588,0.057956,0.000000
1628079688.941483,48,-0.001195,0.008353,0.001652,-0.005954,-0.018849,-0.003017,0.999800,soldier,289,330,161,270,0.986916,9.748572,0.057276,0.000000
1628079689.008367,49,-0.001225,0.008521,0.001618,-0.005955,-0.018876,-0.003036,0.999799,soldier,289,330,161,270,0.987666,9.748496,0.057079,0.000000
1628079689.141482,50,-0.000414,0.009324,0.001482,-0.005955,-0.018808,-0.003204,0.999800,soldier,289,330,162,270,0.987495,9.909999,0.055334,0.000000
1628079689.208276,51,-0.000353,0.009551,0.001395,-0.005959,-0.018806,-0.003225,0.999800,soldier,289,330,161,270,0.987313,9.749512,0.054415,0.000000
1628079689.274780,52,-0.000435,0.008883,0.001921,-0.005912,-0.018795,-0.003278,0.999801,soldier,290,330,161,271,0.987046,9.749453,0.052649,0.000000
1628079689.341458,53,-0.000419,0.008930,0.001907,-0.005911,-0.018793,-0.003296,0.999800,soldier,289,330,161,270,0.986417,9.749475,0.052341,0.000000
1628079689.408155,54,-0.000143,0.009314,0.001754,-0.005938,-0.018784,-0.003414,0.999800,soldier,289,330,162,270,0.987158,9.749776,0.050462,0.000000
1628079689.474872,55,-0.000066,0.009405,0.001703,-0.005940,-0.018790,-0.003446,0.999800,soldier,289,330,161,270,0.986960,9.749844,0.049935,0.000000
1628079689.608139,56,0.000155,0.009723,0.001394,-0.005929,-0.018781,-0.003547,0.999800,soldier,289,330,161,270,0.988317,9.910642,0.048891,0.000000
1628079689.674799,57,0.000223,0.009873,0.001142,-0.005921,-0.018784,-0.003585,0.999800,soldier,289,330,161,270,0.987485,9.750152,0.047658,0.000000
1628079689.808137,58,0.000209,0.010062,0.000901,-0.005922,-0.018797,-0.003632,0.999799,soldier,289,330,161,270,0.987394,9.750118,0.046926,0.000000
1628079689.874808,59,0.000047,0.010099,0.001715,-0.005935,-0.018797,-0.003539,0.999799,soldier,289,330,161,270,0.987397,9.749950,0.048805,0.000000
1628079689.941462,60,0.000112,0.010256,0.001650,-0.005945,-0.018803,-0.003575,0.999799,soldier,289,330,161,270,0.988219,9.750007,0.048274,0.000000
1628079690.008129,61,0.000123,0.010343,0.001565,-0.005960,-0.018864,-0.003584,0.999798,soldier,289,330,161,271,0.987363,9.749907,0.048205,0.000000
1628079690.075174,62,0.000075,0.010492,0.001485,-0.005962,-0.018835,-0.003686,0.999798,soldier,289,330,161,270,0.987178,9.749917,0.046372,0.000000
1628079690.141458,63,0.000004,0.010515,0.001432,-0.005962,-0.018823,-0.003681,0.999798,soldier,289,330,161,270,0.986248,9.749869,0.046485,0.000000
1628079690.274800,64,-0.000157,0.010647,0.001299,-0.005947,-0.019128,-0.003808,0.999792,soldier,289,330,161,271,0.986591,9.749153,0.044147,0.000000
1628079690.408771,65,-0.000224,0.010811,0.001212,-0.005930,-0.019213,-0.003844,0.999790,soldier,289,330,162,270,0.983195,9.909473,0.044136,0.000000
1628079690.474808,66,-0.000174,0.010916,0.001769,-0.005975,-0.019187,-0.003678,0.999791,soldier,289,330,162,270,0.984152,9.749020,0.047012,0.000000
1628079690.541487,67,-0.000127,0.010872,0.001728,-0.005986,-0.019109,-0.003684,0.999793,soldier,289,330,162,270,0.984001,9.909756,0.047447,0.000000
1628079690.608147,68,-0.000045,0.011260,0.001633,-0.006036,-0.018965,-0.003523,0.999796,soldier,289,330,162,270,0.985047,9.910098,0.051087,0.000000
1628079690.741472,69,-0.000032,0.011513,0.001529,-0.006065,-0.018981,-0.003290,0.999796,soldier,290,330,162,269,0.982421,9.910064,0.056006,0.000000
1628079690.875339,70,-0.000057,0.012200,0.001241,-0.006054,-0.018971,-0.003563,0.999795,soldier,290,330,162,269,0.983728,9.749529,0.050625,0.000000
1628079691.008361,71,0.000282,0.011006,0.002089,-0.005862,-0.018760,-0.003755,0.999800,soldier,289,330,162,270,0.983676,9.750266,0.045375,0.000000
